,user_name,user_location,user_description,user_verified,date,text,hashtags,source,label
0,Aravindh S,"Tamil Nadu, India",Nemophilist 🌎 90's KID 😉 😜,FALSE,14-03-2022 12:38,And I am hearing new stories that within a small 2bhk house we need to use a router. Better give a proper modem or take back the connection. I have paid for 6 month service #airtel #broadband,,Twitter for iPhone,0
1,Gbest Bulk SMS,Abuja Nigeria,"Providers of Bulk SMS | Data Bundle | Airtime | TV and Bill Payment | Website Design | GSM Database | Mobile Marketing
Whatsapp: 2348032337034",FALSE,14-03-2022 12:21,"Do U have excess Airtime in ur line and will like it converted to cash?
We buy the airtime and transfer the money to ur bank account.
100% GUARANTEED!
https://t.co/xzovQImLfL
Call/WhatsApp 08032337034
#VTU #Airtime #GbestSMS #airtime2cash #Airtel #MTN #GLO #9mobile #airtimetocash https://t.co/gDSh3cKzdu",,Twitter for Android,neutral
2,Kalyanashis Mahanty,"Barabhum ,  West Bengal, India","School teacher by profession and I am everything you see in me!
Sometimes I play guitar,  sometimes take photographs,  and sometimes I write!",FALSE,14-03-2022 12:05,"@airtelindia @Airtel_Presence bye bye for now. Barked for two months for fix a issue, no response! Tried @JioCare , recharged my old number after years, perfect service for now. Thanks @reliancejio , soon I will port out my main number from #Airtel.",,Twitter for Android,0
3,"Network Palava - Free, Cheap Data Daily.","Lagos, Nigeria","Get Cheap, Free Browsing Solutions at https://t.co/YXoh592Bhm",FALSE,14-03-2022 11:59,"Working NapsternetV Configuration Files Download (Update 2022) – MTN, Telkom &amp; More… https://t.co/Sv1rEzeKCB #mtn #airtel #9mobile #freebrowsingcheats #glo",['mtn'],Revive Social App,neutral
4,JayRoy 🇮🇳,,"Proud Indian 

(RT's r not endorsements)",FALSE,14-03-2022 11:55,"@airtelnews @airtelindia @Airtel_Presence @airtelindia is one of the worst mobile network in India
No 4G network strength 
Repeated requests were turned down. They never care about #CustomersRequest
#AirtelDown 
#Airtel4GTragedy
#Airtel 
#CustomerService 
#CustomerExperience",,Twitter Web App,0
5,JayRoy 🇮🇳,,"Proud Indian 

(RT's r not endorsements)",FALSE,14-03-2022 11:53,"@Airtel_Presence @WynkMusic @PawanKalyan @iamsamyuktha_ @RanaDaggubati @Airtel_Presence @airtelindia is one of the worst mobile network in India
No 4G network strength 
Repeated requests were turned down. They never care about #CustomersRequest
#AirtelDown 
#Airtel4GTragedy
#Airtel 
#CustomerService 
#CustomerExperience",,Twitter Web App,0
6,Eventoss,"Patna, Bihar","Eventoss is a leading Marketing, Entertainment & Communication brand that has been creating and pioneering solutions that build enduring brands and business.",FALSE,14-03-2022 11:53,"Designed with ultimate sophistication, curated by love, the elegant aesthetic setup was drafted by the #TeamEventoss. The setup was plotted to cheer up the Airtel Family Day, 2022 function held at #Patna, Bihar.
.
.
.
#Eventoss #Airtel #familyday #events #Bihar #pandemic #2k22 https://t.co/KDHbY9emkr",,Twitter Web App,1
7,JayRoy 🇮🇳,,"Proud Indian 

(RT's r not endorsements)",FALSE,14-03-2022 11:53,"@Airtel_Presence @airtelindia is one of the worst mobile network in India
No 4G network strength 
Repeated requests were turned down. They never care about #CustomersRequest
#AirtelDown 
#Airtel4GTragedy
#Airtel 
#CustomerService 
#CustomerExperience",,Twitter Web App,0
8,Smartphone Crunch,,"SmartphoneCrunch helps you know what’s new in tech, what to buy, why to buy, and where to buy. We crunch the latest data from the emerging digital world.",FALSE,14-03-2022 11:42,"Have you ever received a call from an unknown number? It’s a situation that we all face at one time. So, we’ve provided ways to trace a caller id of an unknown number.

Visit: https://t.co/i9HoPlj0in

#techblogs #jio #airtel #tracking #Software #tricks #technology #Network",,Twitter Web App,neutral
9,The Hans India,Hyderabad,The Hans India is a leading English news paper and is published from #Telangana #AndhraPradesh and #NewDelhi  #bengaluru,FALSE,14-03-2022 11:39,Airtel's A-SON solution wins the Innovative Mobile Service and Application Award at GTI Awards 2022 #Airtel #A-SON #BharatiAirtel #AirtelXstreamFiber https://t.co/KXEp1uy0xh,"['Airtel', 'A']",Hocalwire Social Share,1
